trade_date,portfolio_id,equity,cash,unsettled_cash,holdings_value,return_pct,drawdown_pct
2026-04-30,aggressive,998541.44,821336.44,0.0,177205.0,-0.1459,-0.1459
2026-04-30,balanced,999033.48,881608.48,0.0,117425.0,-0.0967,-0.0967
2026-04-30,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-01,aggressive,998541.44,821336.44,0.0,177205.0,-0.1459,-0.1459
2026-05-01,balanced,999033.48,881608.48,0.0,117425.0,-0.0967,-0.0967
2026-05-01,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-04,aggressive,1010161.44,821336.44,0.0,188825.0,1.0161,0.0
2026-05-04,balanced,1006733.48,881608.48,0.0,125125.0,0.6733,0.0
2026-05-04,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-05,aggressive,1019822.73,645147.73,0.0,374675.0,1.9823,0.0
2026-05-05,balanced,1013147.05,764647.05,0.0,248500.0,1.3147,0.0
2026-05-05,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-06,aggressive,1021607.73,526557.73,0.0,495050.0,2.1608,0.0
2026-05-06,balanced,1014974.89,643210.89,0.0,371764.0,1.4975,0.0
2026-05-06,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-07,aggressive,1040992.17,193311.54,130295.88,717384.75,4.0992,0.0
2026-05-07,balanced,1031519.53,385483.1,133422.98,512613.45,3.152,0.0
2026-05-07,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-08,aggressive,1021446.48,133381.23,0.0,888065.25,2.1446,0.0
2026-05-08,balanced,1010151.22,269491.67,0.0,740659.55,1.0151,0.0
2026-05-08,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
2026-05-11,aggressive,1035203.2,50786.2,0.0,984417.0,3.5203,0.0
2026-05-11,balanced,1024171.37,253460.67,0.0,770710.7,2.4171,0.0
2026-05-11,conservative,1000000.0,1000000.0,0.0,0.0,0.0,0.0
